item_number,exam_type,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,option_e,option_f
17,Exam A,17,A company has an application that is running on Amazon EC2 instances. A solutions architect has standardized the company on a particular instance family and various instance sizes based on the current needs of the company. The company wants to maximize cost savings for the application over the next 3 years. The company needs to be able to change the instance family and sizes in the next 6 months based on application popularity and usage. Which solution will meet these requirements MOST cost-effectively?,Compute Savings Plan,Standard Reserved Instances,Zonal Reserved Instances,EC2 Instance Savings Plan,A,,
18,Exam A,18,"A data analytics company wants to migrate its batch processing system to AWS. The company receives thousands of small data files periodically during the day through FTP. An on-premises batch job processes the data files overnight. However, the batch job takes hours to finish running. The company wants the AWS solution to process incoming data files as soon as possible with minimal changes to the FTP clients that send the files. The solution must delete the incoming data files after the files have been processed successfully. Processing for each file needs to take 3-8 minutes. Which solution will meet these requirements in the MOST operationally efficient way?",Use. an Amazon EC2 instance that runs an FTP: server to store incoming files onan Amazon Elastic Block Store (Amazon EBS) volume. Configure a job queue in AWS Batch. Use Amazon EventBridge rules to invoke the job to process the files nightly from the EBS volume. Delete the files after the job has processed the files.,Use AWS Transfer Family to create an FTP server to store incoming files on an Amazon Elastic Block Store (Amazon EBS) volume. Configure a job queue in AWS Batch. Use an Amazon S3 event notification when each file arrives to invoke the job in AWS Batch. Delete the files after the job has processed the files.,Use'an AmazonEC2 instance that runs. an FTP server to store incoming files as objects in Amazon $3 Glacier Flexible Retrieval. Configure a job queue in AVVS Batch. Use Amazon EventBridge rules to invoke the job to process the objects nightly from 83 Glacier Flexible Retrieval. Delete the objects after the job has processed the objects.,Use AWS Transfer Family to create an FTP server to store incoming files in Amazon 83 Standard. Create an AWS Lambda Lambda function to process the files and to delete the files after they are processed. Use an S3 event notification to invoke the Lambda function when the files arrive.,D,,
19,Exam A,19,A company needs to create an Amazon Elastic Kubernetes Service (Amazon EKS) cluster to host a digital media streaming application. The EKS cluster will use a managed node group that is backed by Amazon Elastic Block Store (Amazon EBS) volumes for storage. The company must encrypt all data at rest by using a customer managed key that is stored in AWS Key Management Service (AWS KMS). Which combination of actions will meet this requirement with the LEAST operational overhead? (Select TWO.),Usea Kubernetes plugin that uses the customer managed key to perform data encryption.,"After creation of the EKS cluster, locate the EBS volumes. Enable encryption by using the customer managed key-",Enable EBS encryption by default in the AWS Region where the EKS cluster will be created. Select the customer managed key as the default key.,Create the EKS cluster. Create an AM role that has a policy that grants permission to the customer managed key. Associate the role with the EKS cluster.,"C,D",Store the customer managed key as a Kubernetes secret in the EKS cluster. Use the customer managed key to encrypt the EBS volumes,
20,Exam A,20,A company runs a web application that is deployed on Amazon EC2 instances in the private subnet of a VPC. An Application Load Balancer (ALB) that extends across the public subnets directs web traffic to the EC2 instances. The company wants to implement new security measures to restrict inbound traffic from the ALB to the EC2 instances while preventing access from any other source inside or outside the private subnet of the EC2 instances. Which solution will meet these requirements?,Configure a route in a route table to direct traffic from the internet to the private IP addresses of the EC2 instances.,Move the EC2 instances into the public subnet. Give the EC2 instances a set of Elastic IP addresses.,Configure the security group for the EC2 instances to only allow traffic that comes from the security group for the ALB.,Configure the security group for the ALB to allow any TCP traffic on any port.,C,,
21,Exam A,21,A social media company runs its application on Amazon EC2 instances behind an Application Load Balancer (ALB). The ALB is the origin for an Amazon CloudFront distribution. The application has more than a billion images stored in an Amazon S3 bucket and processes thousands of images each second. The company wants to resize the images dynamically and serve appropriate formats to clients. Which solution will meet these requirements with the LEAST operational overhead?,Use a Lambda@Edge function with an external image management library. Associate the Lambda@Edge function with the CloudFront behaviors that serve the images.,Create a CloudFront response headers policy. Use the policy to automatically resize images and to: serve the appropriate format based on the User-Agent HTTP header in the request.,Install an external image management library on an EC2 instance. Use the image management library to process the images.,Create a CloudFront origin request policy. Use the policy to automatically resize images and to serve the appropriate format based on the User- Agent HTTP header in the request.,A,,
22,Exam A,22,"A company has hundreds of Amazon EC2 Linux-based instances in the AWS Cloud. Systems administrators have used shared SSH keys to manage the instances. After a recent audit, the company's security team is mandating the removal of all shared keys. A solutions architect must design a solution that provides secure access to the EC2 instances. Which solution will meet this requirement with the LEAST amount of administrative overhead?",Use AWS Systems Manager Session Manager to. connect to the EC2 instances,Use an Amazon Cognito custom authorizer to authenticate users. Invoke an AWS Lambda function to generate a temporary SSH key.,Allow shared SSH access to a set of bastion instances. Configure all other instances to allow only SSH access from the bastion instances.,Use AWS Security Token Service (AWS STS) to generate one-time SSH keys on demand.,A,,
23,Exam A,23,A company has a regional subscription-based streaming service that runs in a single AWS Region. The architecture consists of web servers and application servers on Amazon EC2 instances. The EC2 instances are in Auto Scaling groups behind Elastic Load Balancers. The architecture includes an Amazon Aurora global database cluster that extends across multiple Availability Zones. The company wants to expand globally and to ensure that its application has minimal downtime. Which solution will provide the MOST fault tolerance?,Extend the Auto Scaling groups for the web tier and the application tier to deploy instances in Availability Zones in. a second-Region. Use an Aurora global database to deploy the database in the primary Region and the second. Region. Use Amazon Route 53 health checks with a failover routing policy to the second Region,Deploy the web tier and the application tier to a second Region. Use an Amazon Aurora global database to deploy the database in the primary Region and the second Region. Use Amazon Route 53 health checks with a failover routing policy to the second Region. Promote the secondary to primary as needed.,Deploy the web tier and the application tier to a second Region. Create an Aurora PostgreSQL database in the second Region. Use AWS Database Migration Service (AWS DMS) to replicate the primary database to the second Region. Use Amazon Route 53 health checks with a failover. routing policy to the second Region,Deploy the web tier and the application tier to a second Region. Add an Aurora PostgreSQL cross-Region Aurora Replica in the second Region. Use Amazon Route 53 health checks with a failover routing policy to the second Region. Promote the secondary to primary as needed.,B,,
24,Exam A,24,A company is building a new web-based customer relationship management application. The application will use several Amazon EC2 instances that are backed by Amazon Elastic Block Store (Amazon BS) volumes behind an Application Load Balancer (ALB). The application will also use an Amazon Aurora database. All data for the application must be encrypted at rest and in transit. Which solution will meet these requirements?,Use. the AWS root account to log in to the AWS Management Console. Upload the company's encryption certificates. While’in the root account; select the option to turn on encryption for all data at rest and in transit for the account,Use AWS Key Management Service (AWS KMS) to encrypt the EBS volumes and Aurora database storage at rest. Attach an AWS Certificate Manager (ACM) certificate to the ALB to encrypt data in transit,Use AWS Key Management Service (AWS KMS) certificates on the ALB to encrypt data in transit. Use AWS Certificate Manager (AM) to encrypt the EBS volumes and Aurora database storage at rest,Use BitLocker to encrypt all data at rest. Import the company's TLS certificate keys to AWS Key Management Service (AWS KMS). Attach the KMS keys to the ALB to encrypt data in transit,B,,
25,Exam A,25,A company is storing petabytes of data in Amazon S3 Standard. The data is stored in multiple S3 buckets and is accessed with varying frequency. The company does not know access patterns for all the data. The company needs to implement a solution for each S3 bucket to optimize the cost of S3 usage. Which solution will meet these requirements with the MOST operational efficiency?,Create an S3 Lifecycle configuration with a rule to transition the objects in-the S3 bucket to S3 One Zone-Infrequent Access'(S3 One Zone-lA). B.-Use the S3 storage class analysis tool to determine the correct tier for each object inthe S3 bucket: Move each object to. the identified storage tier.,,Create an S3 Lifecycle configuration with a rule to transition the objects in the S3 bucket to S3 Glacier Instant Retrieval.,Create an S3 Lifecycle configuration with a rule to transition the objects in the S3 bucket to S3 Intelligent-Tiering.,D,,
26,Exam A,26,A solutions architect is designing a company's disaster recovery (DR) architecture. The company has a MySQL database that runs on an Amazon EC2 instance in a private subnet with scheduled backup. The DR design needs to include multiple AWS Regions. Which solution will meet these requirements with the LEAST operational overhead?,Store the scheduled backup of the MySQL database in. an Amazon S3 bucket that is configured for S3 Cross-Region Replication (CRR). Use the data backup to restore the database in the DR Region.,Migrate the MySQL database to Amazon RDS. Use a Multi-AZ deployment: Turn on read replication for the primary B instance in the different Availability Zones.,Migrate the MySQL database to multiple EC2 instances. Configure a standby EC2 instance in the DR Region. Turn on replication.,Migrate the MySQL database'to an Amazon Aurora global database. Host the primary DB cluster in the primary Region. Host the secondary DB cluster in the DR Region.,D,,
27,Exam A,27,A company wants to add its existing AWS usage cost to its operation cost dashboard. A solutions architect needs to recommend a solution that will give the company access to its usage cost programmatically. The company must be able to access cost data for the current year and forecast costs for the next 12 months. Which solution will meet these requirements with the LEAST operational overhead?,Access usage cost-related data by using downloadable AWS Cost Explorer report . cv files.,Access usage cost-related data by using the AWS. Cost Explorer API-with pagination:,Create AWS Budgets reports for usage cost data. Send the data to the company through SMTP.,Configure AWS Budgets actions to send usage cost data to the company through FTP.,B,,
28,Exam A,28,A company uses Amazon API Gateway to run a private gateway with two REST APIs in the same VPC. The BuyStock RESTful web service calls the CheckFunds RESTful web service to ensure that enough funds are available before a stock can be purchased. The company has noticed in the VPC flow logs that the BuyStock RESTful web service calls the CheckFunds RESTful web service over the internet instead of through the VPC. A solutions architect must implement a solution so that the APIs communicate through the VPC. Which solution will meet these requirements with the FEWEST changes to the code?,Use an interface endpoint,Use a gateway endpoint.,Add an X-API-Key header in the HTTP header for authorization.,Add an Amazon Simple Queue Service (Amazon SQS) queue between the two REST APIs,A,,
29,Exam A,29,"A company's web application consists of an Amazon API! Gateway API in front of an AWS Lambda function and an Amazon DynamoDB database. The Lambda function handles the business logic, and the DynamoDB table hosts the data. The application uses Amazon Cognito user pools to identify the individual users of the application. A solutions architect needs to update the application so that only users who have a subscription can access premium content. Which solution will meet this requirement with the LEAST operational overhead?",Setup AWS WAF. on the API Gateway API. Create a-rule to filter users who have a subscription,Apply fine-grained IAM permissions to the premium content in the DynamoDB table,Enable API caching and throttling on the API Gateway API,Implement API usage plans and API keys to limit the access of users who do not have a subscription,D,,
30,Exam A,30,"A company collects data from thousands of remote devices by using a RESTful web services application that runs on an Amazon EC2 instance. The EC2 instance receives the raw data, transforms the raw data, and stores all the data in an Amazon S3 bucket. The number of remote devices will increase into the millions soon. The company needs a highly scalable solution that minimizes operational overhead. Which combination of steps should a solutions architect take to meet these requirements? (Select TWO.)",Add more EC2 instances to accommodate the increasing amount of incoming data.,Use AWS Glue to process the raw data in Amazon S3.,Use Amazon API! Gateway to send the raw data to an Amazon Kinesis data stream. Configure Amazon Kinesis Data Firehose to use the data stream as a source to deliver the data to Amazon S3.,Send the raw data to Amazon Simple Queue Service (Amazon SQS). Use EC2 instances to process the data.,"B,C",Use Amazon Route 53 to route traffic to different EC2 instances.,
31,Exam A,31,"A company wants to configure its Amazon CloudFront distribution to use SSL/TLS corticates. The company does not want to use the default domain name for the distribution. Instead, the company wants to use a different domain name for the distribution. Which solution will deploy the certificate without incurring any additional costs?",Request an Amazon issued public certificate from AWS Certificate Manager (ACM) in the us-east-1 Region B.- Request an Amazon issued private certificate from AWS Certificate Manager (ACM) in the us-west-1 Region,,Request an Amazon issued public certificate from AWS Certificate Manager (ACM) in the us-west-1 Region,Request an Amazon issued private certificate from AWS Certificate Manager (ACM) in the us-east-1 Region,A,,
32,Exam A,32,A solutions architect needs to optimize storage costs. The solutions architect must identify any Amazon S3 buckets that are no longer being accessed of are rarely accessed. Which solution will accomplish this goal with the LEAST operational overhead?,Turn on the Amazon CloudWatch BucketSizeBytes metric for buckets. Analyze bucket access patterns by using the metrics data with Amazon Athena.,Turn on AWS CloudTrail for S3-object monitoring. Analyze bucket access patterns. by using CloudTrail logs that are integrated with Amazon CloudWatch Logs.,Analyze bucket access patterns by using the S3 dashboard in the AWS Management Console.,Analyze bucket access patterns by using the S3 Storage Lens dashboard for advanced activity metrics.,D,,
33,Exam A,33,A company is building a data analysis platform on AWS by using AWS Lake Formation. The platform will ingest data from different sources such as Amazon S3 and Amazon RDS. The company needs a secure solution to prevent access to portions of the data that contain sensitive information. Which solution will meet these requirements with the LEAST operational overhead?,Create an AWS Lambda function that periodically queries and removes sensitive information from Lake Formation tables. B_-Create data filters to implement row-level security and cell-level security.,,Create an IAM role that includes permissions to access Lake Formation tables.,Create an AWS Lambda function that removes sensitive information before Lake Formation ingests the data.,B,,
34,Exam A,34,"A company hosts its application on AWS. The company uses Amazon Cognito to manage users. When users log in to the application, the application fetches required data from Amazon DynamoDB by using a RESTAP'I that is hosted in Amazon API Gateway. The company wants an AWS managed solution that will control access to the REST API to reduce development efforts. Which solution will meet these requirements with the LEAST operational overhead?",Configure an AWS Lambda function tobe an authorizer in API Gateway to validate which user made the request,Configure an Amazon Cognito user pool authorizer in API Gateway to allow Amazon Cognito to validate each request,"For each user, create and assign an API key that must be sent with each request Validate the key by using an AWS Lambda function.",Send the user's email address in the header with every request Invoke an AWS Lambda function to validate that the user with that email address has proper access.,B,,
35,Exam A,35,A social media company is building a feature for its website. The feature will give users the ability to upload photos. The company expects significant increases in demand during large events and must ensure that the website can handle the upload traffic from users. Which solution meets these requirements with the MOST scalability?,Provisionan AWS Storage Gateway file gateway. Upload files directly from the user's browser to the file gateway. B.-Upload files from the user's browser to the application servers. Transfer the files to an Amazon S3 bucket.,,Generate Amazon S3 presigned URLs in the application. Upload files directly from the user's browser into an S3 bucket.,Provision an Amazon Elastic File System (Amazon EFS) file system. Upload files directly from the user's browser to the file system.,C,,
36,Exam A,36,A company uses on-premises servers to host its applications. The company is running out of storage capacity. The applications use both block storage and NFS storage. The company needs a high-performing solution that supports local caching without re-architecting its existing applications. Which combination of actions should a solutions architect take to meet these requirements? (Select TWO.),Deploy an AWS Storage Gateway volume gateway to’'replace the block storage: |-B.-Mount Amazon 'S3 as a file system to the on-premises servers.,,Deploy an AWS Storage Gateway file gateway to replace NFS storage.,Deploy Amazon Elastic File System (Amazon EFS) volumes and mount them to on-premises servers,"A,C",Deploy AWS Snowball Edge to provision NFS mounts to on-premises servers.,
37,Exam A,37,A company hosts its application in the AWS Cloud. The application runs on Amazon EC2 instances behind an Elastic Load Balancer in an Auto Scaling group and with an Amazon DynamoDB table. The company wants to ensure the application can be made available in another AWS Region with minimal downtime. What should a solutions architect do to meet these requirements with the LEAST amount of downtime?,Create an Auto Scaling group and load-balancer in the disaster recovery Region. Configure the DynamoDB table as a global'table. Create an Amazon CloudWatch alarm to trigger and AWS Lambda function that updates Amazon Route 53 pointing to the disaster recovery load balancer.,Create an AWS CloudFormation template to create EC2 instances and a load balancer to be executed when needed. Configure the DynamoDB table as a global table. Configure DNS failover to point to the new disaster recovery Region's load balancer.,"Create an AWS CloudFormation template to create EC2 instances, load balancers, and DynamoDB tables to be executed when needed. Configure DNS failover to point to the new disaster recovery Region's load balancer.",Create an Auto Scaling group and a load balancer in the disaster recovery Region. Configure the DynamoDB table as a global table. Configure DNS failover topoint to the new disaster recovery Region's load balancer.,D,,
38,Exam A,38,A solutions architect is implementing a complex Java application with a MySQL database. The Java application must be deployed on Apache Tomcat and must be highly available. What should the solutions architect do to meet these requirements?,Launch an Amazon EC2 instance. Install a MySQL server on the EC2 instance. Configure the application on the server. Create an AMI. Use the AMIto create a launch template with an Auto-Scaling group.,Deploy the application in AWS Lambda. Configure an Amazon API Gateway API to. connect with the Lambda functions.,Migrate the database to Amazon ElastiCache. Configure the ElastiCache security group to allow access from the application.,Deploy the application by using AWS Elastic Beanstalk. Configure a load-balanced environment and a rolling deployment policy.,D,,
39,Exam A,39,"A company has multiple VPCs across AWS Regions to support and run workloads that are isolated from workloads in other Regions. Because of a recent application launch requirement, the company's VPCs must communicate with all other PCs across all Regions. Which solution will meet these requirements with the LEAST amount of administrative effort?",Use. VPC-peering to. manage VPC communication in a. single Region. Use. VPC-peering across Regions to manage VPC communications. B.-Use AWS PrivateLink across all Regions to connect VPCs across Regions and manage VPC communications.,,Use AWS Transit Gateway to manage VPC communication in a single Region and Transit Gateway peering across Regions to manage VPC communications.,Use AWS Direct Connect gateways across all Regions to connect VPCs across regions and manage VPC communications.,C,,
40,Exam A,40,A company is developing a new machine learning (ML) model solution on AWS. The models are developed as independent microservices that fetch approximately 1 GB of model data from Amazon S3 at startup and load the data into memory. Users access the models through an asynchronous API. Users can send a request or a batch of requests and specify where the results should be sent. The company provides models to hundreds of users. The usage patterns for the models are irregular. Some models could be unused for days or weeks. Other models could receive batches of thousands of requests at a time. Which design should a solutions architect recommend to meet these requirements?,Direct the requests from the API to an Application.Load Balancer (ALB). Deploy the models as Amazon Elastic Container Service (Amazon ECS) services that read from an Amazon Simple Queue Service (Amazon SQS) queue. Use AWS App Mesh to scale the instances of the ECS cluster based on the SQS queue size:,Direct the requests from the API to a Network Load Balancer (NLB). Deploy the models as AWS Lambda functions that are invoked by the NLB.,Direct the requests from the API into an Amazon Simple Queue Service (Amazon SQS) queue. Deploy the models as AWS Lambda functions that are invoked by. SQS events. Use AWS Auto Scaling to increase the number of CPUs for the Lambda functions based on the SQS queue size.,Direct the requests from the API into an Amazon Simple Queue Service (Amazon SQS) queue. Deploy the models as Amazon Elastic Container Service (Amazon ECS) services that read from the queue. Enable AWS Auto Scaling on Amazon ECS for both the cluster and copies of the service based on the queue size.,D,,
41,Exam A,41,A company has a stateless web application that runs on AWS Lambda functions that are invoked by Amazon API Gateway The company wants to deploy the application across multiple AWS Regions to provide Regional failover capabilities. What should a solutions architect do to route traffic to multiple Regions?,Create Amazon Route 53 health checks for each Region. Use. an active-active failover configuration. B_-Create an Amazon CloudFront distribution with an origin for each Region. Use CloudFront health checks to route traffic.,,Create a transit gateway. Attach the transit gateway to the AP! Gateway endpoint in each Region. Configure the transit gateway to route requests.,Create an Application Load Balancer in the primary Region. Set the target group to point to the API Gateway endpoint hostnames in each Region.,A,,
42,Exam A,42,A company runs container applications by using Amazon Elastic Kubernetes Service (Amazon EKS) and the Kuberetes Horizontal Pod Autoscaler. The workload is not consistent throughout the day. A solutions architect notices that the number of nodes does not automatically scale out when the existing nodes have reached maximum capacity in the cluster which causes performance issues. Which solution will resolve this issue with the LEAST administrative overhead?,Use an AWS Lambda function to resize the EKS cluster automatically.,Scale out the nodes by tracking the memory usage.,Use the Kubernetes Cluster Autoscaler to manage the number of nodes in the cluster.,Use an Amazon EC2 Auto Scaling group to distribute the workload.,C,,
43,Exam A,43,"A company has an application that serves clients that are deployed in more than 20,000 retail storefront locations around the world. The application consists of backend web services that are exposed over HTTPS on port 443. The application is hosted on Amazon EC2 instances behind an Application Load Balancer (ALB). The retail locations communicate with the web application over the public internet. The company allows each retail location to register the IP address that the retail location has been allocated by its local ISP. The company's security team recommends to increase the security of the application endpoint by restricting access to only the IP addresses registered by the retail locations. What should a solutions architect do to meet these requirements?",Associate an AWS WAF web ACL with the ALB. Use IP rule sets on the ALB to filter traffic. Update the IP addresses in the rule to include the registered IP addresses.,Configure the network ACL on the subnet that contains the public interface of the ALB. Update the ingress rules on the network ACL with entries for each of the registered IP addresses.,Deploy AWS Firewall Manager to manage the ALB: Configure firewall rules to restrict traffic to the ALB. Modify the firewall rules to include the registered IP addresses.,Store the IP addresses in an Amazon DynamoDB table. Configure an AWS Lambda authorization function on the ALB to validate that incoming requests are from the registered IP addresses.,A,,
44,Exam A,44,A company uses 50 TB of data for reporting. The company wants to move this data from on premises to AWS. A custom application in the company's data center runs a weekly data transformation job. The company plans to pause the application until the data transfer is complete and needs to begin the transfer process as soon as possible. The data center does not have any available network bandwidth for additional workloads. A solutions architect must transfer the data and must configure the transformation job to continue to run in the AWS Cloud. Which solution will meet these requirements with the LEAST operational overhead?,Order an AWS Snowball Edge Storage Optimized device. Copy the data to the device. Create a custom transformation job by using AWS Glue.,Order an AWS Snowball Edge Storage Optimized device that includes Amazon EC2 compute. Copy the data to the device. Create a new EC2 instance on AWS to run the transformation application.,Use AWS DataSync to move the data. Create a custom transformation job by using AWS Glue.,Order an AWS Snowcone device to move the data. Deploy the transformation application to the device.,A,,
